id,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,ano,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
821874,2010-12-19,domingo,18:15:00,rj,101,323,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
821890,2010-12-18,sabado,17:20:00,rj,101,323,niteroi,outras,colisao traseira,com vitimas feridas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,6,0,5,0,1,0,5,2,,,,,
821895,2010-12-18,sabado,18:30:00,rj,101,323,niteroi,outras,colisao traseira,sem vitimas,anoitecer,decrescente,nublado,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
822195,2010-12-16,quinta,17:00:00,rj,101,322,niteroi,outras,colisao traseira,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
822439,2010-12-20,segunda,09:20:00,rj,101,323,niteroi,falta de atencao,colisao lateral,sem vitimas,pleno dia,decrescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
822654,2010-12-20,segunda,20:10:00,rj,101,328,rio de janeiro,outras,colisao traseira,sem vitimas,plena noite,crescente,ceu claro,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
822665,2010-12-20,segunda,18:37:00,rj,101,329,rio de janeiro,outras,colisao lateral,com vitimas feridas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,3,0,1,0,2,0,1,2,,,,,
823061,2010-12-21,terca,11:35:00,rj,101,332,rio de janeiro,outras,colisao lateral,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,3,0,0,0,2,1,0,3,,,,,
823071,2010-12-21,terca,11:40:00,rj,101,325,niteroi,outras,colisao traseira,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,3,0,0,0,3,0,0,3,,,,,
823104,2010-12-21,terca,12:15:00,rj,101,328,rio de janeiro,outras,colisao traseira,sem vitimas,pleno dia,crescente,ceu claro,dupla,reta,urbano,2010,2,0,0,0,2,0,0,2,,,,,
